Region,Province,2003,2004,2005,2006,2007,2009,2010,2011,2012,2013,2014,2015,2016,2017
西南,重庆,37.87,36.04,40.42,41.87,43.51,48.69,54.1,58.7,60.8,63,64.5,66.2,67.9,66.2
华东,浙江,79.17,81.39,87.58,60.51,63.82,73.5,77.2,78.7,81.1,83.4,86.5,91.5,96.3,96.7
西南,云南,54.14,57.24,61,21.23,23.04,26.71,29.2,30.8,31.4,33.9,35.4,37.9,38.8,45.6
西北,新疆,34.18,34.35,44.73,8.74,11.9,19,48.3,33.9,39.3,45.4,49.1,51.5,48.4,48
华北,天津,37.95,53.25,74.81,92.36,88.48,91.04,96,93.2,93.3,93.4,93.6,93.6,94.4,93.2
西南,四川,33.56,38.97,29.57,28.94,31.47,41.96,46.4,48.8,51.2,54.2,57.2,60.8,63.3,66.6
华东,上海,92.83,94.12,96.5,95.06,95.72,96.36,97.6,96.6,96.6,98.7,94.5,96.9,98.3,99.1
西北,陕西,34.84,41.33,39.48,25.21,25.41,31.27,35.7,39.8,41.9,42.9,42.9,44.7,46.6,29.2
华北,山西,45.82,49.72,51.92,13.27,16.21,19.67,23.1,24.4,27.3,28.1,30.1,33.4,37.2,38
华东,山东,67.44,69.38,71.14,32.87,34.88,40.97,45.3,47.7,50.8,54.1,56.4,57.3,67.9,78.5
西北,青海,58.74,59.36,60.03,4.32,7.14,8.26,9,8.4,11.4,8.9,10.7,9,19.7,19.7
西北,宁夏,31.28,28.21,38.19,17.99,19.98,28.3,37.8,40.5,47,50.7,51.4,58.8,54.5,56.1
华北,内蒙古,45.27,45.48,46.36,4.08,4.65,7.95,12.9,18.2,21.1,23.9,26.3,30.8,30.1,33.5
东北,辽宁,50.74,52,53.82,11.27,13.24,19.07,23.3,26.8,29.6,32,33.8,38.4,42.6,45.2
华中,江西,61.99,64.27,67.73,33.34,38.07,44.55,50.4,54.8,58.9,62.1,65,67.8,69.3,77.7
华东,江苏,48.15,52.9,56.54,31.64,36.97,51.48,59.9,67.4,73.9,79.2,85.5,87.7,91.1,92.5
东北,吉林,57.08,60.01,61.91,4.79,5.04,6.76,13.8,14.4,15,15.7,16.3,16.3,18.7,27.9
华中,湖南,57.75,60.21,33.01,26.68,30.11,32.72,35.2,36.3,37.8,39.3,40.6,42.7,42.3,43.8
华中,湖北,62.77,64.29,66.17,34.14,38.22,43.41,46.5,50.4,52.2,53.4,53.5,55.4,60.9,58.9
东北,黑龙江,62.55,64.75,66.97,4.89,6.93,8.67,12.7,10.8,13.3,14.7,15.9,16.9,17.1,15.8
华中,河南,65.69,66.15,47.37,48.84,50.87,51.44,51,52.8,49.9,54.1,57.2,57.3,60.8,57.1
华北,河北,42.04,44.68,47.19,20.85,21.56,24.81,26.3,27.3,29.5,30.9,41.7,47.6,52.3,51.8
华南,海南,61.24,67.57,63.87,46.83,48.38,57.39,65.6,65,67.5,77.6,78.1,81.2,78.3,85.3
西南,贵州,23.84,27.26,29.97,9.98,11.85,16.48,20.6,23.8,28.1,30.3,31.6,37.3,39.1,48
华南,广西,48.37,85.95,75.19,63.96,45.8,51.74,58,60.6,66.5,71.4,75.7,78.1,78.9,86.5
华南,广东,87.7,50.56,54.43,43.19,68.45,73.43,77.7,78.8,81.1,83.2,84.9,87.2,90.3,93
西北,甘肃,48.9,51.6,54.12,10.89,12.78,17.47,22.3,29.9,28.2,28.5,30.3,32,36.4,36.6
华南,福建,58.69,62.85,65.75,59.76,62.04,70.48,77.1,83.8,86.9,88.9,90.2,92.5,92.1,93.5
华北,北京,82.65,85.69,88.09,48.67,54.09,75.39,90.9,96.6,96.6,96.6,98.1,98.4,99.8,98.1
华东,安徽,57.47,59.33,60.95,18.21,19.1,22.1,25.6,28.7,32.3,34,36.4,38.6,40.6,45.3
